prefecture,municipality,category,subcategory,title,url,source_level,required_status,memo,display_scope,priority,review_decision
東京都,文京区,hazard,ハザード,文京区水害・土砂災害対策実施要領（Ver.4.1),https://www.city.bunkyo.lg.jp/b009/p000109.html,区公式候補,確認候補,クロール結果から抽出した防災・ハザード関連の確認候補,municipality,50,DROP
東京都,新宿区,building_guidance,建築確認,確認候補,https://www.city.shinjuku.lg.jp/kusei/index13.html#section2-3-5その他建築基準法令に関する基準等を調べたい方,区公式候補,確認候補,クロール結果から抽出した建築指導・建築確認関連の確認候補,municipality,50,DROP
東京都,新宿区,building_guidance,建築確認,こちらの様式集,https://www.city.shinjuku.lg.jp/seikatsu/kenchikuc01_000103.html,区公式候補,確認候補,クロール結果から抽出した建築指導・建築確認関連の確認候補,municipality,50,DROP
東京都,新宿区,building_guidance,建築確認,こちらの案内,https://www.city.shinjuku.lg.jp/seikatsu/kenchikuc01_001009.html,区公式候補,確認候補,クロール結果から抽出した建築指導・建築確認関連の確認候補,municipality,50,DROP
東京都,新宿区,district_plan,都市計画情報,過去の用途地域等都市計画図の誤記について,https://www.city.shinjuku.lg.jp/kusei/toshikei01_000003_00001.html,区公式候補,確認候補,クロール結果から抽出した用途地域・都市計画関連の確認候補,municipality,50,DROP
東京都,新宿区,hazard,ハザード,確認候補,https://www.city.shinjuku.lg.jp/kusei/index13.html#section3-2ハザードマップ・開発許可の履歴を調べたい方,区公式候補,確認候補,クロール結果から抽出した防災・ハザード関連の確認候補,municipality,50,DROP
東京都,杉並区,building_guidance,建築確認,建築確認台帳記載事項証明書,https://www.city.suginami.tokyo.jp/s096/1870.html,区公式候補,確認候補,クロール結果から抽出した建築指導・建築確認関連の確認候補,municipality,50,DROP
東京都,杉並区,district_plan,都市計画情報,総合治水対策,https://www.city.suginami.tokyo.jp/machizukuri/toshiseibi/chisui/index.html,区公式候補,確認候補,クロール結果から抽出した用途地域・都市計画関連の確認候補,municipality,50,DROP
東京都,杉並区,district_plan,都市計画情報,都市整備,https://www.city.suginami.tokyo.jp/machizukuri/toshiseibi/index.html,区公式候補,確認候補,クロール結果から抽出した用途地域・都市計画関連の確認候補,municipality,50,DROP
東京都,板橋区,district_plan,都市計画情報,景観計画,https://www.city.itabashi.tokyo.jp/bousai/toshikeiakku/keikan/index.html,区公式候補,確認候補,クロール結果から抽出した用途地域・都市計画関連の確認候補,municipality,50,DROP
東京都,板橋区,district_plan,都市計画情報,都市計画・景観計画・交通政策,https://www.city.itabashi.tokyo.jp/bousai/toshikeiakku/index.html,区公式候補,確認候補,クロール結果から抽出した用途地域・都市計画関連の確認候補,municipality,50,DROP
東京都,板橋区,road,道路関連,土地境界図等証明・道路台帳平面図等写し交付,https://www.city.itabashi.tokyo.jp/bousai/douro/kyoukai/index.html,区公式候補,確認候補,クロール結果から抽出した道路・接道関連の確認候補,municipality,50,DROP
東京都,江戸川区,district_plan,都市計画情報,景観計画,https://www.city.edogawa.tokyo.jp/toshikeikaku/keikan/keikan_keikaku/index.html,区公式候補,確認候補,クロール結果から抽出した用途地域・都市計画関連の確認候補,municipality,50,DROP
東京都,江戸川区,hazard,ハザード,国土交通省ハザードマップポータル,https://www.city.edogawa.tokyo.jp/e007/bosaianzen/bosai/kanrenlink/haza-domap.html,区公式候補,確認候補,クロール結果から抽出した防災・ハザード関連の確認候補,municipality,50,DROP
東京都,江戸川区,hazard,ハザード,3D都市モデルで高潮浸水リスクが確認できます,https://www.city.edogawa.tokyo.jp/e007/bosaianzen/bosai/jijo/saigairisuku3d.html,区公式候補,確認候補,クロール結果から抽出した防災・ハザード関連の確認候補,municipality,50,DROP
東京都,江東区,building_guidance,建築確認,建物の維持管理,https://www.city.koto.lg.jp/machizukuri/kenchiku/iji/index.html,区公式候補,確認候補,クロール結果から抽出した建築指導・建築確認関連の確認候補,municipality,50,DROP
東京都,江東区,district_plan,都市計画情報,地区のまちづくり,https://www.city.koto.lg.jp/machizukuri/toshi/chiku/index.html,区公式候補,確認候補,クロール結果から抽出した用途地域・都市計画関連の確認候補,municipality,50,DROP
東京都,渋谷区,building_guidance,建築確認,建築・工事（事業者向け）,https://www.city.shibuya.tokyo.jp/jigyosha/#jigyo-kenchiku,区公式候補,確認候補,クロール結果から抽出した建築指導・建築確認関連の確認候補,municipality,50,DROP
東京都,渋谷区,district_plan,都市計画情報,都市計画概要,https://www.city.shibuya.tokyo.jp/kankyo/#toshikeikaku,区公式候補,確認候補,クロール結果から抽出した用途地域・都市計画関連の確認候補,municipality,50,DROP
東京都,渋谷区,district_plan,都市計画情報,地区計画制度・開発および盛土などの許可,https://www.city.shibuya.tokyo.jp/kankyo/toshikeikaku/seido/,区公式候補,確認候補,クロール結果から抽出した用途地域・都市計画関連の確認候補,municipality,50,DROP
東京都,港区,building_guidance,建築確認,建築物の計画等をする際の問い合わせ先一覧,https://www.city.minato.tokyo.jp/kenchikufunsou/kankyo-machi/kenchiku/toiawase.html,区公式候補,確認候補,クロール結果から抽出した建築指導・建築確認関連の確認候補,municipality,50,DROP
東京都,港区,district_plan,都市計画情報,地域主体のまちづくり,https://www.city.minato.tokyo.jp/kankyo-machi/toshikekaku/kekaku/01-chiikisyutai-index.html,区公式候補,確認候補,クロール結果から抽出した用途地域・都市計画関連の確認候補,municipality,50,DROP
東京都,目黒区,building_guidance,建築確認,建築課,https://www.city.meguro.tokyo.jp/kenchiku/kusei/gaiyou/kenchiku.html,区公式候補,確認候補,クロール結果から抽出した建築指導・建築確認関連の確認候補,municipality,50,DROP
東京都,目黒区,building_guidance,建築確認,建築・建設,https://www.city.meguro.tokyo.jp/shigoto/kenchiku/index.html,区公式候補,確認候補,クロール結果から抽出した建築指導・建築確認関連の確認候補,municipality,50,DROP
東京都,目黒区,district_plan,都市計画情報,地区計画と建築協定,https://www.city.meguro.tokyo.jp/shigoto/machidukuri/kenchikukyoutei/index.html,区公式候補,確認候補,クロール結果から抽出した用途地域・都市計画関連の確認候補,municipality,50,DROP
東京都,荒川区,building_guidance,建築確認,建築確認台帳記載事項証明書,https://www.city.arakawa.tokyo.jp/a044/machizukuridoboku/kenchikukaihatsu/daichoukisaijikou.html,区公式候補,確認候補,クロール結果から抽出した建築指導・建築確認関連の確認候補,municipality,50,DROP
東京都,荒川区,hazard,ハザード,宅地建物取引業者の方へ（水防法に基づくハザードマップ等）,https://www.city.arakawa.tokyo.jp/a013/bousai/saigaitaisaku/juuyoujikousetumei.html,区公式候補,確認候補,クロール結果から抽出した防災・ハザード関連の確認候補,municipality,50,DROP
東京都,葛飾区,district_plan,都市計画情報,用途地域・都市計画・地区計画,https://www.city.katsushika.lg.jp/planning/1030239/index.html,区公式候補,確認候補,クロール結果から抽出した用途地域・都市計画関連の確認候補,municipality,50,DROP
東京都,足立区,district_plan,都市計画情報,防災街区整備地区計画の区域内における建築等について,https://www.city.adachi.tokyo.jp/misshu/machi/toshi/bosaigaiku.html,区公式候補,確認候補,クロール結果から抽出した用途地域・都市計画関連の確認候補,municipality,50,DROP
